model,year,odometer,price,location,driveTrain,DAS,accident_history,paintJob,wheels,emi,zipCode,interior,state
Model S,,25039,50300,"Fort Lauderdale, FL",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic,19'' Tempest Wheels,$770 /mo,85209,Cream Premium Interior with Oak Wood Décor,FL
Model S,,38783,50400,"Libertyville, IL",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19'' Tempest Wheels,$772 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,IL
Model S,,19821,50500,"Rockville, MD",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Red Multi-Coat Paint,"19"" Sonic Carbon Slipstream Wheels",$773 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,MD
Model S,,29199,50700,"FORT MYERS, FL",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"19"" Sonic Carbon Slipstream Wheels",$777 /mo,85209,Cream Premium Interior with Oak Wood Décor,FL
Model S,,47056,51100,"Matthews, NC",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"21"" Sonic Carbon Twin Turbine Wheels",$784 /mo,85209,Black and White Premium Interior with Dark Ash Wood Décor,NC
Model S,,28249,51500,"Rogers, MN",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Solid Black Paint,19’’ Silver Wheels,$791 /mo,85209,Black and White Premium Interior with Dark Ash Wood Décor,MN
Model S,,33368,51500,"Walnut, CA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$791 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,CA
Model S,,56931,51800,"Rockville, MD",Model S Long Range Plus All-Wheel Drive,Full Self-Driving Capability,Previously Repaired,Midnight Silver Metallic Paint,19'' Tempest Wheels,$797 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,MD
Model S,,34703,51900,"Vienna, VA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,19'' Tempest Wheels,$799 /mo,85209,Cream Premium Interior with Oak Wood Décor,VA
Model S,,28674,52400,"Available to view in Decatur, GA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19'' Tempest Wheels,$808 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,GA
